McGuigan Residence
Load Schedule
Vantage Controls Inc.
26 Feb 2025
Vancouver BC Canada
McGuigan Residence v23.dc

VID,Name,Area
1029,Dining Patio Sconces,Top Floor : Dining Patio
1034,Wine Room Lighted Shelf,Bottom Floor : Wine Room
1041,Living Room Fireplace,Top Floor : Living Room
1042,Dining Room Fireplace,Top Floor : Dining Room
1043,Main Bed Fireplace,Middle Floor : Main Bedroom
1044,East Bed Fireplace,Middle Floor : East Bedroom
1045,Suite Fireplace,Bottom Floor : Suite Kitchen
1046,Jacuzzi Heater,McGuigan Residence
1047,Jacuzzi Jets,Bottom Floor : Pool Room
1048,Sauna Heater,Bottom Floor : Sauna
1115,West Bed Bath Valance LED,Middle Floor : West Bed Bath
1116,Wine Room Recessed,Bottom Floor : Wine Room
1117,Wine Room Wall Backlight (A),Bottom Floor : Wine Room
1118,Wine Room Wall Backlight (B),Bottom Floor : Wine Room
1138,East Bed Bath Mirror LED,Middle Floor : East Bed Bath
1139,Kitchen Patio LED Sconce (BBQ Lights),Top Floor : Kitchen Patio
1140,Skylight 12v Control,Top Floor : Top Floor Hallway
1141,Skylight AC Power Cutoff,Top Floor : Top Floor Hallway
1142,Suite Bath Fan,Bottom Floor : Suite Bathroom
270,Powder Room Hallway Recessed,Top Floor : Main Entrance
425,Powder Room Recessed,Top Floor : Powder Room
428,Powder Room Mirror Sconces ,Top Floor : Powder Room
433,Dining Room Patio Recessed,Top Floor : Dining Patio
435,Pantry Recessed,Top Floor : Pantry
436,West Bed Bath Mirror LED,Middle Floor : West Bed Bath
447,West Bed Bath Shower Recessed,Middle Floor : West Bed Bath
448,Main Bed Main Recessed,Middle Floor : Main Bedroom
449,West Bed Landing Recessed,Middle Floor : Middle Floor Hallway
451,Middle Floor Hallway South Recessed,Middle Floor : Middle Floor Hallway
452,Middle Floor Stairwell North Recessed,Middle Floor : Stairs
453,Main Bed Landing Recessed,Middle Floor : Middle Floor Hallway
454,Main Bed Bath Shower Recessed,Middle Floor : Main Bed Bathroom
455,Main Bed Bath/West Bed Patio Recessed,Middle Floor : Main Bed Bath/West Bed Patio
456,Main Bed Art Projector Recessed,Middle Floor : Main Bedroom
457,Main Bed/East Bed Patio Recessed,Middle Floor : Main Bed/East Bed Patio
458,East Bed Closet Recessed,Middle Floor : East Bedroom
459,East Bed Bath Shower Recessed,Middle Floor : East Bed Bath
460,East Bed Bath Recessed,Middle Floor : East Bed Bath
461,Main Laundry Recessed,Middle Floor : Main Laundry
462,West Bed Closet Recessed,Middle Floor : West Bedroom
463,Top Floor Hallway Recessed,Top Floor : Top Floor Hallway
464,Garage Exterior LED Micro Downlights,Exterior : Front Exterior
465,Garage South Recessed,Top Floor : Garage
467,Office Patio Sconce LED,Top Floor : Office Patio
471,Garage North Reccesed,Top Floor : Garage
472,West Bed Bath Fan,Middle Floor : West Bed Bath
474,Powder Room Hallway North Closet Recessed,Top Floor : Main Entrance
475,Main Bed Bath Fan,Middle Floor : Main Bed Bathroom
476,Powder Room Hallway South Closet Recessed,Top Floor : Main Entrance
498,Main Laundry Room Fan,Middle Floor : Main Laundry
499,East Bed Bath Fan,Middle Floor : East Bed Bath
500,Powder Room Fan,Top Floor : Powder Room
501,Storage Room Lights,Middle Floor : Main Electrical Room
503,Main Entrance Recessed,Top Floor : Main Entrance
504,Office Art Projector Recessed,Top Floor : Office
505,Office Recessed ,Top Floor : Office
506,Kitchen Counter LED,Top Floor : Kitchen
507,Kitchen Island Recessed,Top Floor : Kitchen
508,Kitchen Perimeter Recessed,Top Floor : Kitchen
509,Family Room TV Recessed,Top Floor : Family Room
510,Family Room Main Recessed,Top Floor : Family Room
511,Dining Room Perimeter Recessed,Top Floor : Dining Room
512,Suite Bed Closet Recessed,Bottom Floor : Suite Bedroom
513,Dining Room Art Projector Recessed,Top Floor : Dining Room
514,Dining Table Recessed,Top Floor : Dining Room
515,Living Room Art Projector Recessed,Top Floor : Living Room
516,Powder Room Kick LED,Top Floor : Powder Room
517,Living Room Corner Recessed,Top Floor : Living Room
518,West Bed Bath Kick LED,Middle Floor : West Bed Bath
519,Living Room Perimeter Recessed,Top Floor : Living Room
520,Living Room Center Recessed,Top Floor : Living Room
521,West Bed Recessed,Middle Floor : West Bedroom
522,Main Bed Bath Mirror LED,Middle Floor : Main Bed Bathroom
523,Main Bed Bath Kick LED,Middle Floor : Main Bed Bathroom
524,Main Bed Bath Recessed,Middle Floor : Main Bed Bathroom
525,East Bed Bath Kick Lights,Middle Floor : East Bed Bath
526,Main Bed TV Area Recessed,Middle Floor : Main Bedroom
547,East Bed N/W Recessed ,Middle Floor : East Bedroom
548,Top Floor Hallway Art Projector Recessed,Top Floor : Top Floor Hallway
549,Main Bed East Closet Recessed,Middle Floor : Main Bedroom
550,Main Entrance Nook Recessed,Top Floor : Main Entrance
551,Dining Fireplace Recessed,Top Floor : Main Entrance
552,Pool Room South Recessed,Bottom Floor : Pool Room
553,Pool Room West Recessed,Bottom Floor : Pool Room
