McGuigan Residence,Task List
Theatres at Home Ltd : 1-604-202-0080,26 Feb 2025
Total Tasks: 171
VID,Name
984,East Bed Bath Fan 5 min - TOGGLE
986,Test - Family LED On Scene with Raise
989,Test - Family LED Off with Lower
1000,Test - Family LED On Full with Raise 
1001,Test - Family LED On Dim with Raise
1004,Audio - Zone 1 Power On
1006,Audio - Zone 1 Power Off
1008,Audio - Zone 1 Mute On
1009,Audio - Zone 1 Mute Off
1010,Audio - Zone 1 Vol + Press vs Hold Logic
1013,Audio - Zone 1 Vol +
1014,Audio - Zone 1 Vol -
1021,Audio - Zone 1 Vol - Press vs Hold Logic
1024,Construction On with Raise
1035,Construction Off with Lower
1054,Bottom Floor Laundry Room /Fan 30 min - DIM TOGGLE
1062,Bottom Floor Hallway - DIM TOGGLE
1119,Wine Room Shelf and A - Toggle Dim
1158,Billiards Area - GAMING SCENE - Toggle
1198,Billiards Area - ROOM OFF
1199,Suite Bath - ROOM OFF
1200,East Bed Bath - ROOM OFF
1201,Powder Room - ROOM OFF
1202,Office - ROOM OFF
1203,Living Room - ROOM OFF
1204,Dining Room - ROOM OFF
1205,Family Room - ROOM OFF
1206,Kitchen - ROOM OFF
1207,Garage - ROOM OFF
1208,East Bed - ROOM OFF
1209,Main Bed - ROOM OFF
1210,Main Bed Bath - ROOM OFF
1211,West Bed - ROOM OFF
1213,Gym - ROOM OFF
1214,Pool - ROOM OFF
1215,Wine Room - ROOM OFF
Vantage Controls, Inc.,Page 1 of 5


1217,Suite Kitchen - ROOM OFF
1219,Suite Living Room - ROOM OFF
1220,Suite Bed - ROOM OFF
1222,Powder Room - MOTION (Day/Night)
1225,East Bed Bath - MOTION (Day/Night)
1231,West Bed Bath - MOTION (Day/Night)
1234,Billiards Area Bath - MOTION (Day/Night)
1235,Suite Bath - MOTION (Day/Night)
1236,Main Bed Walk-In - MOTION (Day/Night)
1238,Powder Room Hallway North Closet - DOOR CONTACTS
1242,Billiards Area - DIM TOGGLE
1243,Gym - Dim TOGGLE
1244,Bottom Floor Stairs - DIM TOGGLE
1247,Pool - DIM TOGGLE
1248,Billiards Area Bath - ROOM OFF
1249,Billiards Area Bath - DAILY SCENE
1250,Billiards Area Bath - BRIGHT SCENE
1251,Pool Patio - SWITCH TOGGLE
1252,Gym Patio - SWITCH TOGGLE
1258,Sauna - DIM TOGGLE
1259,Storage Room Under Garage - SWITCH TOGGLE
1260,Front Exterior Micro Recessed - SWITCH TOGGLE
1261,Bottom Floor Mech Room - SWITCH TOGGLE
1262,Bottom Floor Laundry Fan 30 min - TOGGLE
1263,Billiards Area Bath Fan 30 min - TOGGLE
1265,Suite Bath - DAILY SCENE
1266,Suite Bath - BRIGHT SCENE
1267,East Bed Bath - DAILY SCENE
1268,East Bed Bath - BRIGHT SCENE
1269,West Bed Bath - ROOM OFF
1270,West Bed Bath - BRIGHT SCENE
1271,West Bed Bath - DAILY SCENE
1273,West Bed - BRIGHT SCENE
1274,West Bed - DAILY SCENE
1275,Powder Room - BRIGHT SCENE
1276,Powder Room - DAILY SCENE
1277,Powder Room Fan 30 min - TOGGLE
1278,Main Bed - DAILY SCENE
1279,Main Bed Sitting Area - DIM 
Vantage Controls, Inc.,Page 2 of 5


TOGGLE
1280,Main Bed/East Bed Patio - SWITCH TOGGLE
1281,Main Bed Bath/West Bed Patio - SWITCH TOGGLE
1282,Office - DAILY SCENE
1283,Office Patio - SWITCH TOGGLE
1284,Kitchen Patio - SWITCH TOGGLE
