Button Index,Button Name,Button VID
1,Counter LEDs,110
2,Counter Recessed,111
3,Screened Dining,112
4,Porch Recessed,113
5,W Porch Sconces,398
6,Kitchen Recessed,118
7,Island Pendants,119
8,Living Recessed,121
9,Under Stairs,399
10,Button 10 - ??,131
11,Button 11 - ??,134
12,Button 12 - ??,137
13,Button 13 - ??,140
14,Button 14 - ??,143
15,Living Volume,400
16,Button 16 - ??,162
17,Porch Sconces,164
18,Liv/Porch Off,405
19,Button 19 - ??,89
20,Button 20 - ??,92
21,Button 21 - ??,95
22,Button 22 - ??,98
23,Button 23 - ??,101
24,Button 24 - ??,67
25,Button 25 - ??,70
26,Button 26 - ??,73
27,Button 27 - ??,76
28,Button 28 - ??,79
29,Hallway Recessed,49
30,Hallway Lamps,50
31,Hallway Speakers,409
32,Mudroom Recessed,39
33,Garage Lights,42
34,Kitchen/Living,406
35,N Porch Sconces,31
36,Button 36 - ??,32
37,Button 37 - ??,407
38,Button 38 - ??,189
39,Button 39 - ??,192
40,Button 40 - ??,195
41,Button 41 - ??,198
42,Button 42 - ??,201
43,Bedroom Recessed,177
44,Lamp,178
45,Blinds,179
46,Balcony Sconces,180
47,Power Off,410
48,Ensuite Sconces,209
49,Ensuite Shower,210
50,Ensuite Recessed,211
51,Bedroom Hall,212
52,Ensuite Speakers,436
53,Closet Recessed,215
54,Closet Mirror LEDs,219
55,Cool,464
56,+,465
57,-,466
58,Warm,467
