Page Index,Page Name
0,Initial Load Page (Global > Home)
1,Source Menu - List (Global > Home)
2,Room Menu - List (Global > Home)
3,Power Menu (Global > Home)
4,Template (Global > Home)
5,Weather (Global > Weather)
6,Security - Alarm (Global > Alarm )
7,Sonos 1 - Room (Global > Sonos #1)
8,Sonos 1 - House (Global > Sonos #1)
9,Sonos 2 - Room (Global > Sonos #2)
10,Sonos 2 - House (Global > Sonos #2)
11,DCT 1 - Room (Global > Rogers #1)
12,DCT 1 - House (Global > Rogers #1)
13,DCT 2- Room (Global > Rogers #2)
14,DCT 2 - House (Global > Rogers #2)
15,DCT 3 - Room (Global > Rogers 3)
16,DCT 3 - House (Global > Rogers 3)
17,DirecTV 1 - Room (Global > DirecTV #1)
18,DirecTV 1 - House (Global > DirecTV #1)
19,DirecTV 2 - Room (Global > DirecTV #2)
20,DirecTV 2 - House (Global > DirecTV #2)
21,Apple TV 1 - Room (Global > Apple TV #1 (Gen 4))
22,Apple TV 1 - House (Global > Apple TV #1 (Gen 4))
23,Apple TV 2 - Room (Global > Apple TV #2 Gen 4))
24,Apple TV 2 - Room (Global > Apple TV #2 (Gen 4))
25,Apple TV 2 - House (Global > Apple TV #2 (Gen 4))
26,Lighting - Room Vertical (Global > Clipsal C-Bus)
27,Lighting - House Vertical (Global > Clipsal C-Bus)
28,Fans - Room (Global > HRV Fans (RTI RCM12))
29,Fans - House (Global > HRV Fans (RTI RCM12))
30,Cameras - Intercom (Global > Cameras (in RTI))
31,Cameras - Gate (Global > Cameras (in RTI))
32,Cameras - Street South (Global > Cameras (in RTI))
33,Cameras - Driveway (Global > Cameras (in RTI))
34,Cameras - Car Park West (Global > Cameras (in RTI))
35,Cameras - Car Park East (Global > Cameras (in RTI))
36,Cameras - Front Door (Global > Cameras (in RTI)
37,Cameras - Garage (Global > Cameras (in RTI))
38,Cameras - Dog Run (Global > Cameras (in RTI)
39,Cameras - Laundry Door (Global > Cameras (in RTI))
40,Cameras - Pool West (Global > Cameras (in RTI))
41,Cameras - Lower Courtyard (Global > Cameras (in RT
42,Cameras - Gym Door (Global > Cameras (in RTI))
43,Cameras - Back Yard West (Global > Cameras (in RTI)
44,Cameras - Kitchen Door (Global > Cameras (in RTI))
45,Cameras - Patio Door (Global > Cameras (in RTI))
46,Cameras - Patio Firepit (Global > Cameras (in RTI))
47,Cameras - Backyard East (Global > Cameras (in RTI))
48,Cameras - Pool East (Global > Cameras (in RTI)
49,Cameras - Pool Firepit (Global > Cameras (in RTI))
50,Cameras - Shed Door (Global > Cameras (in RTI))
51,Cameras - Sports Court (Global > Cameras (in RTI))
52,Cameras - Trampoline (Global > Cameras (in RTI))
53,Cameras - Maintenance Path (Global > Cameras (in RTI))
54,Access - Intercom (Global > Access)
55,Access - Street South (Global > Access)
56,Access - Driveway (Global > Access)
57,Please Wait (Global > Please Wait)
58,Shades - Room (Global > Relay Based Shades)
59,Shades - House (Global > Relay Based Shades)
60,Fireplaces - Room (Global > Fireplaces)
61,Fireplaces - House (Global > Fireplaces)
62,Heaters - Room (Global > Heaters)
63,Heaters - House (Global > Heaters)
64,Media (Global > Media)
65,Climate - Room (Global > Climate)
66,Climate - House (Global > Climate)
67,Pool - Controls (IP) (Global > Pool)
68,Pool - Settings (IP) (Global > Pool)
69,Pool - Controls (RS232) (Global > Pool)
70,Pool - Settings (RS232) (Global > Pool)
