Source Index,Source Name
0,Global Home
1,Weather
2,Room Home
3,Room Home
4,Room Home
5,Room Home
6,Room Home
7,Room Home
8,Room Home
9,Room Home
10,Room Home
11,Room Home
12,Room Home
13,Room Home
14,Room Home
15,Room Home
16,Room Home
17,Room Home
18,Room Home
19,Room Home
20,Alarm
21,Vaux Lattis Matrix
22,Patio Firepit Audio (Zone 2)
23,Pool Firepit Audio (Zone 3)
24,Pool Audio Pre Out (Zone 4)
25,Sports Court Audio Pre Out (Zone 5)
26,Sonos #1
27,Sonos #2
28,Rogers 1
29,Rogers 2
30,Rogers 3
31,DirecTV #1
32,DirecTV #2
33,Video (Output 1)
34,Video (Output 2)
35,Video (Output 3)
36,Video (Output 4
37,Video Right TV (Output 5)
38,Video (Output 6)
39,Video (Output 7)
40,Video Left TV (Output 8)
41,Video Left TV (Output 8)
42,Television
43,LG TV
44,Samsung TV
45,Samsung TV
46,Samsung TV
47,Samsung - Right
48,JVC Projector
49,Denon AVR
50,Denon AVR
51,Local BluRay
52,Local Apple TV
53,Apple TV #1
54,Apple TV #2
55,Local PC Input
56,Game #3
57,Lutron Upper Floor
58,Lights
59,Room Home
60,Fans
61,Room Home
62,Cameras
63,Please Wait
64,Shades
65,Game #1
66,Game #2
67,Fireplaces
68,Room Home
69,Room Home
70,Room Home
71,Room Home
72,Heaters
73,Media Selection
74,Floorplan
75,XP Diagnostics
76,Relay Based Shades DR
77,Pool
78,Power Off
79,Presets
80,Relay Based Shades with Upper Landing 2
81,Logic Helper - Back Yard Patio Firepit
82,Logic Helper - Back Yard Pool Firepit
83,Logic Helper - Front Yard
84,Front Yard Audio (Zone 6)
85,LH - Back Yard Pool
86,LH - Back Yard Sports Court
87,DCT #1 Extra Commands
88,DCT #2 Extra Commands
89,DCT #3 Extra Commands
90,Lutron Lower Floor
91,Layer Switch
92,Denon AVR (RS232)
93,Denon AVR (RS232)
94,LH - Rec Room Audio
95,LH - Theater Audio
96,Samsung - Left
97,IH - Theater CBUS
98,Samsung - Television - DLP Discretes 2005
99,Integer Helper - Theater CBUS Setpoint
100,Integer Helper - Laundry CBUS Temp
101,Integer Helper - Laundry CBUS Setpoint
102,Integer Helper - Garage CBUS Temp
103,Integer Helper - Garage CBUS Setpoint
104,Integer Helper - Garage CBUS Setpoint
105,Integer Helper - Rec Room CBUS Temp
106,Integer Helper - Rec Room CBUS Setpoint
107,Integer Helper - Hallway CBUS Temp
108,Integer Helper - Hallway CBUS Setpoint
109,Integer Helper - Guest Room CBUS Temp
110,Integer Helper - Guest Room CBUS Setpoint
111,Integer Helper -Master Bed CBUS Temp
112,Integer Helper - Master Bed CBUS Setpoint
113,Climate
114,Zigbee Test
115,Debug Counter - Rec Room Test
116,Debug Counter - t4 Test
117,Vantage Shades
118,LH - Office Shades ALL
119,All Lights
120,All Audio
121,Lutron Exterior
122,Cameras (on TV
123,All Shades
124,Jandy AquaLink RS
125,WattBox (Main Rack)
126,WattBox (Security Rack)
127,All Climate
128,All Fans
